Item,Size,kcal
Pasta Carbonara,1 Portion,480
Pasta Cheese Sauce,1 Portion,550
Pasta Garlic and Oil,1 Portion,350
Pasta Marinara,1 Portion,300
Pasta Pesto,1 Portion,450
Pasta Vodka Sauce,1 Portion,420
Macaroon Coconut,1 Piece,97
Macchiato,1 Cup,85
Mace,1 Teaspoon,8
Mache,1 Cup,5
Mackerel,100g,262
Mackerel Atlantic,100g,205
Mackerel and Roll,1 Item,164
Mackerel King,100g,212
Mackerel Maki Roll,1 Piece,43
Mackerel Nigiri,1 Piece,42
Mackerel Sashimi,1 Piece,46
Mackerel Spicy Roll,1 Piece,53
Mackerel Tempura Roll,1 Piece,59
Madeleine,1 Item,80
Mahi-Mahi,100g,109
Mai Tai,1 Item,306
Maitake Mushrooms,1 Cup,22
Maize Porridge Ugali,1 Portion,230
Maki Roll Avocado,8 Pieces,220
Maki Roll Cucumber,8 Pieces,140
Maki Roll Salmon,8 Pieces,200
Maki Roll Spicy Tuna,8 Pieces,290
Maki Roll Tuna,8 Pieces,190
Malabar Spinach,100g,19
Malai Kofta,1 Portion,450
Malay Apple,100g,43
Malt Chocolate,1 Cup,410
Moringa Leaves,100g,64
Manchego,1 Portion,110
Mandarin Orange,1 Item,47
Mandu,5 Items,260
Mango,1 Cup,99
Mango and Agave Smoothie,1 Cup,251
Mango and Chia Smoothie,1 Cup,209
Mango and Flaxseed Smoothie,1 Cup,250
Mango and Honey Smoothie,1 Cup,338
Mango and Kale Smoothie,1 Cup,204
Mango and Oats Smoothie,1 Cup,301
Mango and Peanut Butter Smoothie,1 Cup,232
Mango and Spinach Smoothie,1 Cup,300
Mango and Yogurt Smoothie,1 Cup,275
Mango Avocado Salad,1 Portion,200
Mango Frozen Yogurt,1 Item,162
Mango Gelato,1 Item,180
Mango Ice Cream,1 Item,149
Mango Juice,1 Cup,128
Mango Milkshake,1 Cup,360
Mango Sorbet,1 Cup,220
Mango Sticky Rice,1 Portion,380
Mango Sundae,1 Item,424
Mangosteen,100g,73
Manhattan,1 Item,187
Manicotti,1 Portion,430
Tapioca Bread,1 Slice,110
Mansaf,1 Portion,620
Manti Turkish Dumplings,1 Portion,450
Maple Brownie,1 Item,279
Maple Cake,1 Slice,318
Maple Cheesecake,1 Slice,492
Maple Cookie,1 Item,158
Maple Cupcake,1 Item,220
Maple Muffin,1 Item,326
Maple Pie,1 Slice,423
Maple Scone,1 Item,190
Maple Syrup,1 Tablespoon,52
Mapo Tofu,1 Portion,340
Maqluba,1 Portion,500
Maqluba Palestinian,1 Portion,500
Maraschino Cherry,1 Item,8
Marble Cake,1 Slice,337
Margarine,1 Tablespoon,100
Margarita,1 Item,274
Marinara Sauce,1 Cup,70
Marinated Mushrooms,1 Cup,100
Marionberry,1 Cup,62
Marjoram,1 Teaspoon,1
Orange Jam,1 Tablespoon,49
Marmite,1 Teaspoon,9
Marshmallow,1 Item,23
Martabak,1 Piece,400
Martini,1 Item,176
Marzipan,1 Portion,128
Masabacha,1 Portion,230
Masala Chai,1 Cup,130
Mascarpone,1 Portion,124
Mashed Potatoes,1 Cup,237
Mashed Potatoes with Gravy,1 Cup,300
Massaman Curry,1 Portion,400
Matcha Frozen Yogurt,1 Item,123
Matcha Gelato,1 Item,172
Matcha Ice Cream,1 Cup,280
Matcha Latte,1 Cup,190
Matcha Milkshake,1 Cup,330
Matcha Sorbet,1 Item,84
Matcha Sundae,1 Item,393
Matzo Cracker,1 Piece,111
Mayonnaise,1 Tablespoon,94
McDouble,1 Piece,390
Meat Shawarma Plate,1 Portion,600
Meatball Sandwich,1 Item,375
Meatball Sub,1 Item,580
Meatballs Italian,3 Items,210
Meatballs Swedish,3 Pieces,220
Meatloaf,1 Slice,200
Medlar,100g,47
Medu Vada,2 Pieces,200
Melomakarona,1 Item,130
Melon Pan,1 Item,350
Melting Moment Cookie,1 Piece,85
Melton Mowbray Pork Pie,1 Slice,350
Menemen Turkish Eggs,1 Portion,300
Mentos,1 Item,37
Menudo,1 Cup,180
Meringue Cookie,1 Item,20
Methi Chicken,1 Portion,400
Methi Paratha,1 Piece,250
Mexican Wedding Cookie,1 Piece,72
Mezcal,1 Portion,80
Meze Platter,1 Portion,350
Mi Quang,1 Portion,380
Microwave Rice,1 Portion,250
Midori,1 Portion,80
Mie Goreng,1 Portion,450
Migas,1 Cup,340
Milkfish,100g,148
Milkshake Peanut Butter,1 Cup,480
Milkshake Strawberry,1 Cup,360
Milkshake Vanilla,1 Cup,350
Millefeuille,1 Piece,310
Millet,1 Cup,207
Mimolette,1 Portion,105
Mimosa,1 Item,120
Mineral Water,1 Cup,0
Minestrone,1 Portion,130
Mini Babybel,1 Piece,70
Mint Brownie,1 Item,281
Mint Cake,1 Slice,359
Mint Cheesecake,1 Slice,417
Mint Chocolate Chip Frozen Yogurt,1 Item,162
Mint Chocolate Chip Gelato,1 Item,205
Mint Chocolate Chip Milkshake,1 Cup,370
Mint Chocolate Chip Sorbet,1 Item,97
Mint Chocolate Chip Sundae,1 Item,401
Mint Chutney,2 Tablespoons,20
Mint Cookie,1 Item,168
Mint Cupcake,1 Item,254
Mint Muffin,1 Item,329
Mint Pie,1 Slice,371
Mint Sauce,1 Tablespoon,5
Mint Scone,1 Item,187
Minted Peas,1 Cup,150
Miracle Fruit,1 Piece,1
Miracle Whip,1 Tablespoon,40
Miso Paste,1 Tablespoon,34
Miso Ramen,1 Portion,550
Miso Red,1 Tablespoon,34
Miso Soup,1 Cup,40
Miso White,1 Tablespoon,34
Missi Roti,1 Piece,130
Mississippi Mud Pie,1 Slice,530
Mixed Berry and Agave Smoothie,1 Cup,196
Mixed Berry and Chia Smoothie,1 Cup,245
Mixed Berry and Flaxseed Smoothie,1 Cup,348
Mixed Berry and Honey Smoothie,1 Cup,232
Mixed Berry and Kale Smoothie,1 Cup,248
Mixed Berry and Oats Smoothie,1 Cup,223
Mixed Berry and Peanut Butter Smoothie,1 Cup,315
Mixed Berry and Spinach Smoothie,1 Cup,293
Mixed Berry and Yogurt Smoothie,1 Cup,317
Mixed Nuts,1 Portion,173
Mixed Vegetables Roasted,1 Portion,100
Mizuna,1 Cup,10
Moambe Chicken,1 Portion,480
Mocha,1 Cup,200
Mochi,1 Piece,35
Mochi Cake,1 Slice,200
Mochi Ice Cream,1 Piece,100
Mofongo,1 Portion,380
Mojito,1 Item,217
Molasses,1 Tablespoon,58
Mole Negro,1 Cup,290
Mole Poblano,1 Cup,310
Mole Sauce,2 Tablespoons,60
Mongolian Beef,1 Cup,370
Monkfish,100g,76
Monster Energy,1 Item,210
Monte Cristo,1 Item,610
Monterey Jack,1 Portion,106
Moo Goo Gai Pan,1 Portion,270
Moo Ping,3 Items,270
Moo Shu Pork,1 Portion,500
Mooncake,1 Slice,700
Moong Dal Halwa,1 Cup,400
Morcilla,1 Portion,108
Morel Mushrooms,1 Cup,20
Mortadella,1 Portion,94
Moscow Mule,1 Item,182
Motichoor Ladoo,1 Piece,95
Moules Marinieres,1 Portion,250
Moussaka,1 Portion,480
Mousse Au Chocolat,1 Cup,380
Mousse Strawberry,1 Cup,280
Mozzarella,1 Portion,95
Mozzarella En Ca Carrozza,1 Piece,180
Mozzarella Sticks,3 Pieces,270
Mudslide,1 Item,556
Muenster,1 Portion,104
Muesli,1 Cup,560
Muffin Banana Nut,1 Item,320
Muffin Chocolate Chip,1 Item,340
Muffin Corn,1 Item,345
Muffuletta,1 Item,585
Muhallabia,1 Piece,200
Muhammara,2 Tablespoons,60
Mujaddara,1 Portion,300
Mujadera,1 Portion,300
Mulberries,1 Cup,60
Mulled Wine,1 Cup,200
Mullet,100g,150
Mulligatawny Soup,1 Cup,160
Multigrain Bread,1 Slice,69
Multigrain Crackers,5 Pieces,70
Mung Bean Sprouts,1 Cup,26
Mung Beans,1 Cup,212
Murtabak,1 Piece,450
Musakhan Chicken Palestinian,1 Portion,600
Mushrooms Bacon,1 Portion,40
Mushrooms Barley Soup,1 Portion,170
Mushrooms Biryani,1 Portion,477
Mushrooms Bisque Soup,1 Cup,359
Mushrooms Broth Soup,1 Cup,237
Mushrooms Chowder Soup,1 Cup,308
Mushrooms Chunky Soup,1 Cup,122
Mushrooms Congee,1 Portion,444
Mushrooms Cream of Soup,1 Cup,308
Mushrooms Fried Rice,1 Portion,312
Mushrooms Jambalaya,1 Portion,374
Mushrooms Noodle Soup,1 Cup,200
Mushrooms Paella,1 Portion,304
Mushrooms Pilaf,1 Portion,369
Mushrooms Pizza,1 Slice,260
Mushrooms Rice Soup,1 Cup,96
Mushrooms Risotto,1 Portion,410
Mushrooms Spicy Soup,1 Cup,122
Mushrooms Stew Soup,1 Cup,124
Mushrooms Sticky Rice,1 Portion,387
Mushrooms White,1 Cup,15
Mushrooms and Beans,1 Portion,79
Mushrooms and Broccoli,1 Portion,50
Mushrooms and Carrots,1 Portion,79
Mushrooms and Corn,1 Portion,79
Mushrooms and Kale,1 Portion,35
Mushrooms and Noodles,1 Portion,104
Mushrooms and Onions,1 Portion,79
Mushrooms and Pasta,1 Portion,250
Mushrooms and Peas,1 Portion,79
Mushrooms and Peppers,1 Portion,79
Mushrooms and Quinoa,1 Portion,92
Mushrooms and Rice,1 Portion,98
Mushrooms and Spinach,1 Portion,29
Mushrooms Bowl,1 Portion,28
Mushrooms Burger,1 Item,270
Mushrooms Cake,1 Portion,250
Mushrooms Casserole,1 Portion,300
Mushrooms Curry,1 Portion,150
Mushrooms Fritter,1 Piece,170
Mushrooms Omelette,1 Portion,250
Mushrooms Plate,1 Portion,30
Mushrooms Salad,1 Portion,140
Mushrooms Sandwich,1 Item,200
Mushrooms Skewer,1 Item,120
Mushrooms Taco,1 Item,200
Mushrooms Wrap,1 Item,300
Mushy Peas,1 Cup,160
Mussel,100g,86
Mustard Dijon,1 Tablespoon,5
Mustard Greens,1 Cup,15
Mustard Seed,1 Teaspoon,9
Mustard Whole Grain,1 Tablespoon,10
Mustard Yellow,1 Tablespoon,3
Mutton,100g,294
Mysore Pak,1 Piece,150
Naan,1 Piece,262
Naan Plain,1 Piece,262
Nacho Cheese Tortilla Chips,1 Portion,140
Nachos Supreme,1 Portion,569
Nachos with Cheese,1 Portion,346
Naengmyeon,1 Portion,450
Naengmyeon Cold Noodles,1 Portion,390
Nam Prik,1 Tablespoon,15
Nance,100g,82
Napa Cabbage,1 Cup,12
Nashville Hot Chicken,1 Portion,580
Nasi Goreng,1 Portion,520
Nasi Andar,1 Portion,600
Nasi Lemak,1 Portion,580
Nasi Uduk,1 Portion,520
Nasturtium Leaves,1 Cup,5
Natto,100g,212
Nature Valley Bar,1 Item,90
Navy Beans,1 Cup,255
Nduja Spreadable Salami,1 Portion,130
Neapolitan Frozen Yogurt,1 Item,136
Neapolitan Gelato,1 Item,204
Neapolitan Milkshake,1 Cup,339
Neapolitan Sorbet,1 Item,120
Neapolitan Sundae,1 Item,437
Nectarine,1 Item,62
Negroni,1 Item,195
New Orleans Beignet,1 Piece,120
Nian Gao,1 Slice,130
Nice Cream Banana,1 Cup,200
Nicoise Salad,1 Portion,420
Nigiri Assorted,1 Piece,40
Nigiri Ebi Shrimp,2 Pieces,80
Nigiri Salmon,2 Pieces,92
Nigiri Tuna,2 Pieces,82
Nikujaga,1 Cup,250
Niu Rou Mian,1 Portion,520
Nkontomire,1 Portion,150
Noni Fruit,100g,47
Noodles Bowl,1 Portion,179
Chicken Noodle Casserole,1 Portion,450
Noodles Curry,1 Portion,400
Noodles Rice,1 Cup,192
Noodles Salad,1 Portion,400
Nori Seaweed Sheet,1 Item,10
Nougat,1 Portion,110
Nuoc Cham,1 Tablespoon,15
Fish Sauce,1 Tablespoon,10
Nut Bar,1 Item,200
Nutmeg,1 Teaspoon,12
Nutri Grain Bar,1 Item,130
Nutritional Yeast,1 Tablespoon,20
Oat Bar,1 Item,190
Oat Bran,1 Cup,231
Oat Groats,1 Cup,165
Oat Milk,1 Cup,120
Oat Milk Unsweetened,1 Cup,90
Oat Sausage Link,1 Piece,110
Oatmeal,1 Cup,166
Oatmeal Cookie,1 Item,132
Oatmeal Instant Plain,1 Item,100
Oatmeal Overnight,1 Portion,350
Oatmeal Steel-Cut,1 Cup,166
Oaxaca,1 Portion,90
Ocean Perch,100g,94
Ochazuke,1 Portion,240
Octopus,100g,150
Octopus Pasta,1 Portion,520
Octopus and Roll,1 Item,162
Octopus Maki Roll,1 Piece,42
Octopus Nigiri,1 Piece,50
Octopus Sashimi,1 Piece,39
Octopus Spicy Roll,1 Piece,53
Octopus Tempura Roll,1 Piece,59
Ojingeo Bokkeum,1 Cup,200
Okonomiyaki,1 Portion,490
Okra,100g,33
Old Fashioned,1 Item,154
Olive Oil,1 Tablespoon,119
Olive Pizza,1 Slice,270
Olive Tapenade,1 Tablespoon,30
Olives Black,5 Items,25
Olives Green,5 Items,25
Olives Kalamata,5 Items,45
Omelette Plain,2 Items,186
Omelette Vegetable,2 Items,200
Omelette with Avocado,1 Portion,303
Omelette with Bacon,1 Portion,182
Omelette with Salami,1 Portion,231
Omelette with Hash Browns,1 Portion,208
Omelette with Pancakes,1 Portion,324
Omelette with Sausage,1 Portion,214
Omelette with Spinach,1 Portion,250
Omelette with Toast,1 Portion,248
Omelette with Tomatoes,1 Portion,187
Omelette with Waffles,1 Portion,194
Omurice,1 Portion,510
Ondeh Ondeh,5 Pieces,200
Onigiri,1 Piece,170
Onigiri Salmon,1 Piece,180
Onigiri Tuna Mayo,1 Piece,210
Onigiri Umeboshi,1 Piece,150
Onion,1 Item,44
Onion Bhaji,3 Pieces,180
Onion Gravy,1 Cup,160
Onion Pizza,1 Slice,255
Onion Powder,1 Teaspoon,8
Onion Rings,1 Portion,440
Onion Soup Gratinee,1 Portion,410
Opah,100g,155
Open Face Sandwich,1 Piece,220
Opera Cake,1 Slice,390
Orange,1 Item,62
Orange Beef,1 Portion,490
Orange Brownie,1 Item,287
Orange Cake,1 Slice,346
Orange Cheesecake,1 Slice,463
Orange Chicken,1 Cup,460
Orange Cookie,1 Item,175
Orange Cupcake,1 Item,308
Orange Juice,1 Cup,112
Orange Muffin,1 Item,330
Orange Pie,1 Slice,435
Orange Polenta Cake,1 Slice,330
Orange Roughy,100g,105
Orange Scone,1 Item,238
Orecchiette with Broccoli Rabe,1 Cup,360
Orecchiette with Sausage,1 Portion,540
Oregano Dried,1 Teaspoon,3
Orzo Salad,1 Portion,300
Ossau-Iraty,1 Portion,115
Osso Buco,1 Portion,470
Ostrich,100g,145
Ostrich Egg,100g,154
Ostrich Meat,100g,114
Ouzi Lamb Rice,1 Portion,620
Overnight Oats,1 Portion,350
Oxtail Soup,1 Portion,380
Oyakodon,1 Portion,520
Oyster,1 Item,41
Oyster Crackers,1 Cup,195
Oyster Mushrooms,100g,33
Oyster Sauce,1 Tablespoon,9
Oyster Stew,1 Cup,280
Oysters Fried,100g,199
Oysters Rockefeller,4 Pieces,200
Pabellon Criollo,1 Portion,480
Pachamanca,1 Portion,580
Pad Kra Pao,1 Portion,430
Pad Pak Ruam,1 Cup,180
Pad Prik King,1 Cup,290
Pad See Ew,1 Portion,480
Pad Thai,1 Portion,550
Paella,1 Cup,410
Paella Chicken and Seafood,1 Portion,560
Paella Mixta,1 Cup,420
Paella Seafood,1 Cup,380
Paella Valenciana,1 Portion,530
Paella Vegetable,1 Portion,390
Pain Au Chocolat,1 Piece,270
Pajeon,1 Item,250
Pajeon Scallion Pancake,1 Piece,300
Pakora,5 Pieces,200
Pakora Vegetable,1 Piece,100
Palak Paneer,1 Portion,380
Palatschinken,1 Piece,130
Paleta,1 Piece,80
Palm Heart,100g,36
Palm Oil,1 Tablespoon,120
Palmier,1 Item,100
Pambazo,1 Item,520
Pan Con Tomate,1 Slice,125
Pan Drippings Gravy,1 Cup,180
Pan Seared Artichoke,1 Portion,72
Pan Seared Asparagus,1 Portion,24
Pan Seared Bacon,1 Portion,160
Pan Seared Beef,1 Portion,300
Pan Seared Beef Ribs,1 Item,384
Pan Seared Broccoli,1 Portion,66
Pan Seared Brussels Sprouts,1 Portion,51
Pan Seared Cauliflower,1 Portion,30
Pan Seared Cheese,1 Portion,336
Pan Seared Chicken,1 Portion,198
Pan Seared Egg,1 Portion,93
Pan Seared Eggplant,1 Portion,30
Pan Seared Fish,1 Portion,144
Pan Seared Green Beans,1 Portion,37
Pan Seared Kale,1 Portion,39
Pan Seared Lamb,1 Portion,338
Pan Seared Mixed Vegetables,1 Portion,42
Pan Seared Mushrooms,1 Portion,26
Pan Seared Pork,1 Portion,277
Pan Seared Pork Ribs,1 Item,360
Pan Seared Potatoes,1 Portion,92
Pan Seared Salmon,1 Portion,247
Pan Seared Seafood,1 Portion,180
Pan Seared Shrimp,1 Portion,118
Pan Seared Spinach,1 Portion,27
Pan Seared Sweet Corn,1 Portion,103
Pan Seared Sweet Potatoes,1 Portion,103
Pan Seared Tofu,1 Portion,91
Pan Seared Tuna,1 Portion,158
Pan Seared Vegetables,1 Portion,96
Pan Seared Zucchini,1 Portion,20
Panang Curry,1 Portion,370
Panbread,1 Slice,79
Pancake,1 Slice,86
Pancakes Blueberry,1 Slice,110
Pancakes Buttermilk,1 Slice,175
Savoury Pancakes,1 Slice,300
Pancetta,1 Portion,207
Pandan Leaf,100g,50
Paneer,100g,265
Paneer Butter Masala,1 Portion,490
Paneer Tikka,1 Portion,280
Panettone,1 Slice,180
Pani Puri,1 Piece,30
Paniyaram,1 Piece,60
Panko Breadcrumbs,1 Cup,440
Panna Cotta,1 Piece,380
Panzanella,1 Portion,270
Pao De Queijo,1 Item,75
Pap Maize,1 Portion,180
Papadum,1 Piece,30
Papaya,1 Cup,55
Papaya Salad,1 Portion,70
Papdi Chaat,1 Portion,290
Pappardelle Ragu,1 Cup,420
Paprika,1 Teaspoon,7
Paratha,1 Piece,260
Parfait Yogurt,1 Cup,380
Paris Brest,1 Piece,380
Parmesan,1 Portion,110
Parmigiana Di Melanzane,1 Portion,390
Parsley Dried,1 Teaspoon,1
Parsnip,100g,75
Parsnip Mash,1 Portion,120
Passion Fruit,1 Item,17
Passion Fruit Juice,1 Cup,126
Pasta Alla Norma,1 Portion,430
Pasta Casserole,1 Portion,400
Pasta E Fagioli,1 Cup,194
Pasta Fritter,1 Portion,219
Pasta Frutti Di Mare,1 Portion,480
Pasta Primavera,1 Portion,380
Pasta Puttanesca,1 Portion,430
Pasta Salad,1 Portion,350
Pasta Salad with Dressing,1 Portion,450
Pasta with Butter,1 Portion,350
Pasta with Meatballs,1 Portion,630
Pasteis De Nata,1 Item,180
Pastel Brazilian,1 Piece,280
Pastel De Choclo,1 Portion,450
Pastilla Moroccan Pie,1 Slice,450
Pastitsio,1 Portion,360
Pastrami,100g,147
Pastrami Sandwich,1 Item,520
Patatas Bravas,1 Portion,280
Pate,1 Portion,107
Patty Melt,1 Item,510
Pattypan Squash,100g,18
Pav Bhaji,1 Portion,350
Pavlova,1 Piece,270
Pawpaw,100g,80
Pea and Ham Soup,1 Portion,260
Pea Bisque Soup,1 Cup,309
Pea Broth Soup,1 Cup,121
Pea Chowder Soup,1 Cup,341
Pea Chunky Soup,1 Cup,93
Pea Cream of Soup,1 Cup,333
Pea Milk,1 Cup,70
Pea Noodle Soup,1 Cup,250
Pea Protein Powder,1 Item,100
Pea Rice Soup,1 Cup,192
Pea Spicy Soup,1 Cup,207
Pea Stew Soup,1 Cup,150
Peach,1 Item,59
Peach and Agave Smoothie,1 Cup,285
Peach and Chia Smoothie,1 Cup,271
Peach and Flaxseed Smoothie,1 Cup,189
Peach and Honey Smoothie,1 Cup,303
Peach and Kale Smoothie,1 Cup,240
Peach and Oats Smoothie,1 Cup,294
Peach and Peanut Butter Smoothie,1 Cup,269
Peach and Spinach Smoothie,1 Cup,223
Peach and Yogurt Smoothie,1 Cup,295
Peach Pie,1 Slice,310
Peach Rings,1 Portion,110
Peanut Brittle,1 Portion,128
Peanut Butter,2 Tablespoons,188
Peanut Butter and Jelly Sandwich,1 Item,376
Peanut Butter Banana Sandwich,1 Item,380
Peanut Butter Brownie,1 Item,315
Peanut Butter Cake,1 Slice,382
Peanut Butter Cheesecake,1 Slice,417
Peanut Butter Creamy,2 Tablespoons,188
Peanut Butter Crunchy,2 Tablespoons,188
Peanut Butter Cupcake,1 Item,290
Peanut Butter Muffin,1 Item,344
Peanut Butter Pie,1 Slice,411
Peanut Butter Scone,1 Item,251
Peanut Oil,1 Tablespoon,119
Peanut Sauce,2 Tablespoons,70
Peanut Spread Reduced Fat,1 Tablespoon,95
Peanuts,1 Portion,161
Peanuts Dry Roasted,1 Portion,166
Peanuts Raw,1 Portion,161
Pear Jam,1 Tablespoon,48
Pear Tart,1 Slice,340
Peas,1 Cup,118
Peas and Carrots,1 Cup,76
Peas Green,1 Cup,134
Pecan Brownie,1 Item,294
Pecan Cake,1 Slice,358
Pecan Cheesecake,1 Slice,493
Pecan Cookie,1 Item,162
Pecan Cupcake,1 Item,248
Pecan Halves,1 Portion,196
Pecan Muffin,1 Item,294
Pecan Pie,1 Slice,503
Pecan Candy,1 Piece,120
Pecan Scone,1 Item,210
Pecans,1 Portion,196
Pecorino Romano,1 Portion,110
Pecorino Sardo,1 Portion,111
Peda,1 Piece,70
Peking Duck,1 Portion,550
Pelau,1 Portion,420
Penne with Sauce,1 Portion,450
Pepino Melon,100g,23
Pepper Cream Sauce,2 Tablespoons,90
Pepper Jack,1 Portion,110
Pepper Sauce,1 Tablespoon,5
Pepper Steak,1 Cup,340
Peppered Salami,1 Portion,110
Peppermint,3 Pieces,60
Peppermint Candy,1 Piece,25
Peppermint Cappuccino,1 Item,226
Peppermint Frappe,1 Item,182
Peppermint Latte,1 Item,248
Peppermint Macchiato,1 Item,166
Peppermint Mocha,1 Cup,253
Pepperoncata,1 Item,180
Pepperoncini,1 Item,10
Pepperoni,1 Portion,138
Pepperoni Pizza Slice,1 Slice,298
Perch,100g,91
Periwinkle,100g,90
Perkedel,1 Item,150
Persimmon,1 Item,118
Pesto,2 Tablespoons,170
Petit Four,1 Piece,120
Pheasant,100g,181
Pheasant Meat,100g,144
Philly Cheesesteak,1 Item,580
Phnom Penh Noodles,1 Portion,400
Pho Beef,1 Portion,450
Pho Bo,1 Portion,350
Pho Chicken,1 Portion,380
Pho Ga,1 Portion,300
Picadillo,1 Portion,350
Picanha,100g,280
Pickle Bread and Butter,1 Slice,7
Pickled Beets,1 Cup,140
Pickled Cucumbers,1 Cup,22
Pickled Ginger,1 Tablespoon,5
Pickled Herring,100g,170
Pickled Jalapeno,1 Tablespoon,4
Pickled Onions,2 Tablespoons,10
Pide Cheese,1 Piece,420
Pie Crust,1 Slice,121
Pierogies Meat,3 Pieces,240
Pierogies Potato,3 Pieces,210
Squab Meat,100g,294
Pigeon Peas,1 Cup,203
Pike,100g,113
Pilaf Vegetable,1 Portion,320
Pilaki,1 Portion,240
Pimento Cheese,2 Tablespoons,80
Pimento Pepper,1 Tablespoon,3
Pimentos,2 Tablespoons,5
Pimientos De Padron,1 Cup,60
Pina Colada,1 Item,490
Pine Nuts,1 Portion,191
Pineapple,1 Cup,82
Pineapple and Agave Smoothie,1 Cup,313
Pineapple and Chia Smoothie,1 Cup,263
Pineapple and Flaxseed Smoothie,1 Cup,343
Pineapple and Honey Smoothie,1 Cup,278
Pineapple and Kale Smoothie,1 Cup,243
Pineapple and Oats Smoothie,1 Cup,302
Pineapple and Peanut Butter Smoothie,1 Cup,185
Pineapple and Spinach Smoothie,1 Cup,181
Pineapple and Yogurt Smoothie,1 Cup,283
Pineapple Juice,1 Cup,133
Pineapple Pizza,1 Slice,270
Pineapple Upside Down Cake,1 Slice,320
Pineberry,100g,40
Pink Beans,1 Cup,252
Pink Lemonade,1 Cup,105
Pinto Beans,1 Cup,245
Piri Piri Chicken,1 Portion,420
Pisco Sour,1 Item,167
Pistachio Frozen Yogurt,1 Item,115
Pistachio Milk,1 Cup,100
Pistachio Milkshake,1 Cup,366
Pistachio Nuts,1 Portion,159
Pistachio Sorbet,1 Item,112
Pistachio Sundae,1 Item,402
Pistachios,1 Portion,159
Pisto,1 Portion,180
Pisto Manchego,1 Portion,180
Pita Bread,1 Piece,165
Pita Hummus Dip,2 Tablespoons,50
Pita with Hummus,1 Portion,260
Pitaya,100g,60
Pizza Barbecue Chicken,1 Slice,305
Pizza Buffalo Chicken,1 Slice,295
Pizza Capricciosa,1 Slice,270
Pizza Chicago Deep Dish,1 Slice,390
Pizza Four Cheeses,1 Slice,285
Pizza Funghi,1 Slice,250
Pizza Hawaiian,1 Slice,280
Pizza Margherita,1 Slice,250
Pizza Meat Lovers,1 Slice,360
Pizza Napoletana,1 Slice,235
Pizza Pepperoni,1 Slice,298
Pizza Prosciutto,1 Slice,260
Pizza Quattro Stagioni,1 Slice,265
Pizza Sicilian,1 Slice,350
Pizza Supreme,1 Slice,320
Pizza Thin Crust,1 Slice,215
Pizza Truffle,1 Slice,280
Pizza Vegan,1 Slice,200
Pizza Vegetarian,1 Slice,220
Vegetables Pizza,1 Slice,235
Pizza White Pizza,1 Slice,290
Pizza Greek,1 Slice,290
Pizzelle,1 Item,47
Plaice,100g,91
Plantain,1 Item,218
Ploughman's Lunch,1 Portion,680
Plov Uzbek Lamb Rice,1 Portion,550
Plum,1 Item,30
Plum Cake,1 Slice,290
Plum Jam,1 Tablespoon,48
Plum Sauce,1 Tablespoon,35
Po'Boy Shrimp,1 Item,520
Po'Boy Oyster,1 Item,450
Poached Egg,1 Item,72
Poached Eggs with Avocado,1 Portion,295
Poached Eggs with Bacon,1 Portion,169
Poached Eggs with Salami,1 Portion,393
Poached Eggs with Hash Browns,1 Portion,230
Poached Eggs with Mushrooms,1 Portion,206
Poached Eggs with Pancakes,1 Portion,255
Poached Eggs with Sausage,1 Portion,290
Poached Eggs with Spinach,1 Portion,216
Poached Eggs with Toast,1 Portion,317
Poached Eggs with Tomatoes,1 Portion,211
Poached Eggs with Waffles,1 Portion,342
Poblano Pepper,1 Item,48
Poha,1 Portion,270
Poi,1 Cup,270
Polenta,1 Cup,145
Polenta Fried Slice,1 Piece,80
Polenta with Mushrooms,1 Portion,280
Pollo a La Brasa,1 Portion,440
Pollock,100g,92
Pomegranate Juice,1 Cup,134
Pomegranate Seeds,1 Cup,144
Pomelo,1 Cup,72
Pompano,100g,164
Pongal,1 Cup,220
Ponzu,1 Tablespoon,10
Ponzu Sauce,1 Tablespoon,12
Poori,1 Piece,121
Pop Rocks,1 Item,36
Popcorn Air Popped,1 Cup,31
Popcorn Butter,1 Cup,64
Popcorn Caramel,1 Cup,152
Popcorn Chicken,1 Cup,380
Popcorn Kettle,1 Cup,80
Poppy Seeds,1 Tablespoon,46
Popsicle,1 Item,40
Popsicle Chocolate Fudge,1 Piece,90
Popsicle Strawberry,1 Piece,45
Pork and Beans,1 Portion,215
Pork and Broccoli,1 Portion,185
Pork and Carrots,1 Portion,215
Pork and Corn,1 Portion,215
Pork and Kale,1 Portion,171
Pork and Mushrooms,1 Portion,164
Pork and Noodles,1 Portion,239
Pork and Onions,1 Portion,215
Pork and Pasta,1 Portion,252
Pork and Peas,1 Portion,215
Pork and Peppers,1 Portion,215
Pork and Quinoa,1 Portion,228
Pork and Rice,1 Portion,234
Pork and Spinach,1 Portion,165
Pork Banh Mi,1 Item,500
Pork Belly,100g,518
Pork Biryani,1 Portion,486
Pork Bowl,1 Portion,300
Pork Burger,1 Item,346
Pork Casserole,1 Portion,323
Pork Chop,100g,231
Pork Chow Mein,1 Cup,365
Pork Crackling,1 Portion,153
Pork Curry,1 Portion,323
Pork Fritter,1 Piece,323
Pork Green Curry,1 Portion,587
Pork Jalfrezi,1 Portion,381
Pork Jambalaya,1 Portion,487
Pork Korma,1 Portion,406
Pork Leg,100g,186
Pork Liver,100g,165
Pork Madras,1 Portion,577
Pork Massaman,1 Portion,473
